element,Number,Atomic_Weight,Period,group,families,Metal,Nonmetal,Metalliod,Mendeleev_Number,l_quantum_number,Atomic_Radius,Miracle_Radius_[pm],Covalent_Radius,Zunger_radii_sum,ionic_radius,crystal_radius,Pauling_Electronegativity,MB_electonegativity,Gordy_electonegativity
H,1,1.00794,1,1,7,0,1,0,92,0,0.53,118.0124224,0.37,1.25,0.25,0.1,2.2,2.1,7.1784
He,2,4.002602,1,18,9,0,1,0,98,0,0.31,36.29850746,0.32,0,0.31,0,0,0,12.0486
Li,3,6.941,2,1,1,1,0,0,1,0,1.67,152,1.34,1.61,1.45,0.9,0.98,0.9,3.2223
Be,4,9.01218,2,2,2,1,0,0,67,0,1.12,112,0.9,1.08,1.05,0.41,1.57,1.45,3.7942
B,5,10.811,2,13,6,0,0,1,72,1,0.87,88,0.82,0.795,0.85,0.25,2.04,1.9,4.5951
C,6,12.011,2,14,7,0,1,0,77,1,0.67,77,0.77,0.64,0.7,0.29,2.55,2.37,5.6246
N,7,14.00674,2,15,7,0,1,0,82,1,0.56,72,0.75,0.54,0.65,0.3,3.04,2.85,6.8834
O,8,15.9994,2,16,7,0,1,0,87,1,0.48,64,0.73,0.465,0.6,1.21,3.44,3.32,8.3703
F,9,18.998403,2,17,8,0,1,0,93,1,0.42,55.74193548,0.71,0.405,0.5,1.19,3.98,3.78,10.0854
Ne,10,20.1797,2,18,9,0,1,0,99,1,0.38,80.64935065,0.69,0,0.38,0,0,0,12.0317
Na,11,22.989768,3,1,1,1,0,0,2,0,1.9,180,1.54,2.65,1.8,1.16,0.93,0.89,2.5378
Mg,12,24.305,3,2,2,1,0,0,68,0,1.45,160,1.3,2.03,1.5,0.86,1.31,1.31,2.9745
Al,13,26.981539,3,13,5,1,0,0,73,1,1.18,141,1.18,1.675,1.25,0.53,1.61,1.64,3.5237
Si,14,28.0855,3,14,6,0,1,0,78,1,1.11,110,1.11,1.42,1.1,0.4,1.9,1.98,4.1852
P,15,30.973762,3,15,7,0,1,0,83,1,0.98,102,1.06,1.24,1,0.31,2.19,2.32,4.9591
S,16,32.066,3,16,7,0,1,0,88,1,0.88,103,1.02,1.1,1,0.43,2.58,2.65,5.8458
Cl,17,35.4527,3,17,8,0,1,0,94,1,0.79,94.57272727,0.99,1.01,1,1.67,3.16,2.98,6.8446
