Symbol,"Atomic 
weight","Atomic 
number",Period,Group,"quantum 
number l","Metal(1)/
metalloid(2)/
nonmetal(3)",Mendeleev number
H,1.008,1,1,1,0,3,92
He,4.003,2,1,18,0,3,98
Li,6.941,3,2,1,0,1,1
Be,9.012,4,2,2,0,1,67
B,10.811,5,2,13,1,2,72
C,12.011,6,2,14,1,3,77
N,14.007,7,2,15,1,3,82
O,15.999,8,2,16,1,3,87
F,18.998,9,2,17,1,3,93
Ne,20.18,10,2,18,1,3,99
Na,22.99,11,3,1,0,1,2
Mg,24.305,12,3,2,0,1,68
Al,26.982,13,3,13,1,1,73
Si,28.086,14,3,14,1,3,78
P,30.974,15,3,15,1,3,83
S,32.066,16,3,16,1,3,88
Cl,35.453,17,3,17,1,3,94
Ar,39.948,18,3,18,1,3,100
K,39.098,19,4,1,0,1,3
Ca,40.078,20,4,2,0,1,7
Sc,44.956,21,4,3,2,1,11
Ti,47.867,22,4,4,2,1,43
V,50.942,23,4,5,2,1,46
Cr,51.996,24,4,6,2,1,49
Mn,54.938,25,4,7,2,1,52
Fe,55.847,26,4,8,2,1,55
Co,58.933,27,4,9,2,1,58
Ni,58.693,28,4,10,2,1,61
Cu,63.546,29,4,11,2,1,64
Zn,65.38,30,4,12,2,1,69
Ga,69.723,31,4,13,1,1,74
Ge,72.63,32,4,14,1,2,79
As,74.922,33,4,15,1,2,84
Se,78.971,34,4,16,1,3,89
Br,79.904,35,4,17,1,3,95
Kr,83.798,36,4,18,1,3,101
Rb,85.468,37,5,1,0,1,4
Sr,87.62,38,5,2,0,1,8
Y,88.906,39,5,3,2,1,12
Zr,91.224,40,5,4,2,1,44
Nb,92.906,41,5,5,2,1,47
Mo,95.95,42,5,6,2,1,50
Tc,97.907,43,5,7,2,1,53
Ru,101.07,44,5,8,2,1,56
Rh,102.906,45,5,9,2,1,59
Pd,106.42,46,5,10,2,1,62
Ag,107.868,47,5,11,0,1,65
Cd,112.411,48,5,12,0,1,70
In,114.818,49,5,13,1,1,75
Sn,118.71,50,5,14,1,1,80
Sb,121.76,51,5,15,1,3,85
Te,127.6,52,5,16,1,3,90
I,126.904,53,5,17,1,3,96
Xe,131.293,54,5,18,1,3,102
Cs,132.905,55,6,1,0,1,5
Ba,137.327,56,6,2,0,1,9
La,138.906,57,6,3,2,1,13
Ce,140.115,58,6,3,3,1,15
Pr,140.908,59,6,3,3,1,17
Nd,144.242,60,6,3,3,1,19
Pm,144.913,61,6,3,3,1,21
Sm,150.36,62,6,3,3,1,23
Eu,151.965,63,6,3,3,1,25
Gd,157.25,64,6,3,3,1,27
Tb,158.925,65,6,3,3,1,29
Dy,162.5,66,6,3,3,1,31
Ho,164.93,67,6,3,3,1,33
Er,167.259,68,6,3,3,1,35
Tm,168.934,69,6,3,3,1,37
Yb,173.045,70,6,3,3,1,39
Lu,174.967,71,6,3,2,1,41
Hf,178.49,72,6,4,2,1,45
Ta,180.948,73,6,5,2,1,48
W,183.84,74,6,6,2,1,51
Re,186.207,75,6,7,2,1,54
Os,190.23,76,6,8,2,1,57
Ir,192.217,77,6,9,2,1,60
Pt,195.084,78,6,10,2,1,63
Au,196.967,79,6,11,2,1,66
Hg,200.592,80,6,12,2,1,71
Tl,204.383,81,6,13,1,1,76
Pb,207.2,82,6,14,1,1,81
Bi,208.98,83,6,15,1,1,86
Th,232.038,90,7,3,2,1,16
U,238.029,92,7,3,3,1,20
