Symbol,Mendeleev number,Families,"valence
s","valence
p","valence
d","valence
f","unfilled
s","unfilled
p","unfilled
d","unfilled
f","no. of 
valence 
electrons","outer
shell
electrons","Gilman no.
of valence
electrons"
H,92,7,1,0,0,0,1,6,10,14,1,1,1
He,98,9,2,0,0,0,0,6,10,14,2,2,2
Li,1,1,1,0,0,0,1,6,10,14,1,1,1
Be,67,2,2,0,0,0,0,6,10,14,2,2,2
B,72,6,2,1,0,0,0,5,10,14,3,3,3
C,77,7,2,2,0,0,0,4,10,14,4,4,4
N,82,7,2,3,0,0,0,3,10,14,5,5,5
O,87,7,2,4,0,0,0,2,10,14,6,6,6
F,93,8,2,5,0,0,0,1,10,14,7,7,7
Ne,99,9,2,6,0,0,0,0,10,14,8,8,8
Na,2,1,1,0,0,0,1,6,10,14,1,1,1
Mg,68,2,2,0,0,0,0,6,10,14,2,2,2
Al,73,5,2,1,0,0,0,5,10,14,3,3,3
Si,78,6,2,2,0,0,0,4,10,14,4,4,4
P,83,7,2,3,0,0,0,3,10,14,5,5,5
S,88,7,2,4,0,0,0,2,10,14,6,6,6
Cl,94,8,2,5,0,0,0,1,10,14,7,7,7
Ar,100,9,2,6,0,0,0,0,10,14,8,8,8
K,3,1,1,0,0,0,1,6,10,14,1,1,1
Ca,7,2,2,0,0,0,0,6,10,14,2,2,2
Sc,11,3,2,0,1,0,0,6,9,14,3,2,1
Ti,43,4,2,0,2,0,0,6,8,14,4,2,2
V,46,4,2,0,3,0,0,6,7,14,5,2,3
Cr,49,4,1,0,5,0,1,6,5,14,6,1,4
Mn,52,4,2,0,5,0,0,6,5,14,7,2,5
Fe,55,4,2,0,6,0,0,6,4,14,8,2,5
Co,58,4,2,0,7,0,0,6,3,14,9,2,4
Ni,61,4,2,0,8,0,0,6,2,14,10,2,3
Cu,64,4,1,0,10,0,1,6,0,14,11,1,2
Zn,69,4,2,0,10,0,0,6,0,14,12,2,1
Ga,74,5,2,1,10,0,0,5,0,14,13,3,3
Ge,79,6,2,2,10,0,0,4,0,14,14,4,4
As,84,6,2,3,10,0,0,3,0,14,15,5,5
Se,89,7,2,4,10,0,0,2,0,14,16,6,6
Br,95,8,2,5,10,0,0,1,0,14,17,7,7
Kr,101,9,2,6,10,0,0,0,0,14,18,8,8
Rb,4,1,1,0,0,0,1,6,10,14,1,1,1
Sr,8,2,2,0,0,0,0,6,10,14,2,2,2
Y,12,3,2,0,1,0,0,6,9,14,3,2,1
Zr,44,4,2,0,2,0,0,6,8,14,4,2,2
Nb,47,4,1,0,4,0,1,6,6,14,5,1,3
Mo,50,4,1,0,5,0,1,6,5,14,6,1,4
Tc,53,4,2,0,5,0,0,6,5,14,7,2,5
Ru,56,4,1,0,7,0,1,6,3,14,8,1,5
Rh,59,4,1,0,8,0,1,6,2,14,9,1,4
Pd,62,4,0,0,10,0,2,6,0,14,10,10,3
Ag,65,4,1,0,10,0,1,6,0,14,11,1,2
Cd,70,4,2,0,10,0,0,6,0,14,12,2,1
In,75,5,2,1,10,0,0,5,0,14,13,3,3
Sn,80,5,2,2,10,0,0,4,0,14,14,4,4
Sb,85,6,2,3,10,0,0,3,0,14,15,5,5
Te,90,6,2,4,10,0,0,2,0,14,16,6,6
I,96,8,2,5,10,0,0,1,0,14,17,7,7
Xe,102,9,2,6,10,0,0,0,0,14,18,8,8
Cs,5,1,1,0,0,0,1,6,10,14,1,1,1
Ba,9,2,2,0,0,0,0,6,10,14,2,2,2
La,13,3,2,0,1,0,0,6,9,14,3,2,1
Ce,15,3,2,0,1,1,0,6,9,13,4,2,3
Pr,17,3,2,0,0,3,0,6,10,11,5,2,3
Nd,19,3,2,0,0,4,0,6,10,10,6,2,3
Pm,21,3,2,0,0,5,0,6,10,9,7,2,3
Sm,23,3,2,0,0,6,0,6,10,8,8,2,3
Eu,25,3,2,0,0,7,0,6,10,7,9,2,3
Gd,27,3,2,0,1,7,0,6,9,7,10,2,3
Tb,29,3,2,0,0,9,0,6,10,5,11,2,3
Dy,31,3,2,0,0,10,0,6,10,4,12,2,3
Ho,33,3,2,0,0,11,0,6,10,3,13,2,3
Er,35,3,2,0,0,12,0,6,10,2,14,2,3
Tm,37,3,2,0,0,13,0,6,10,1,15,2,3
Yb,39,3,2,0,0,14,0,6,10,0,16,2,3
Lu,41,3,2,0,1,14,0,6,9,0,17,2,1
Hf,45,4,2,0,2,14,0,6,8,0,18,2,2
Ta,48,4,2,0,3,14,0,6,7,0,19,2,3
W,51,4,2,0,4,14,0,6,6,0,20,2,4
Re,54,4,2,0,5,14,0,6,5,0,21,2,5
Os,57,4,2,0,6,14,0,6,4,0,22,2,5
Ir,60,4,2,0,7,14,0,6,3,0,23,2,4
Pt,63,4,1,0,9,14,1,6,1,0,24,1,3
Au,66,4,1,0,10,14,1,6,0,0,25,1,2
Hg,71,4,2,0,10,14,0,6,0,0,26,2,1
Tl,76,5,2,1,10,14,0,5,0,0,27,3,3
Pb,81,5,2,2,10,14,0,4,0,0,28,4,4
Bi,86,5,2,3,10,14,0,3,0,0,29,5,5
Th,16,3,2,0,2,0,0,6,8,14,4,2,2
U,20,3,2,0,1,3,0,6,9,11,6,2,3
