Symbol,"Pauling valence, 
v","Metallic 
valence",Zeff,"1st Bohr
radius (a0)","Ionization
energy (eV)","Electron 
affinity (ev)","Pearson
absolute (eV)","Ghosh
Gupta (eV)","Pauling 
EN","Martynov 
Batsanov EN","Mulliken
EN","Allred
EN","Allred
Rockow EN","Nagle
EN","Putz
Russo
Sicillia
EN","Gordy
EN","Ghosh
EN"
H,0.0,0.0,1.0,0.529,13.598,0.757,7.18,7.186,2.2,2.1,7.18,2.2,2.3,2.27,0.0,2.13,8.22
He,0.0,0.0,1.344,0.394,24.587,-0.518,0.0,12.057,0.0,0.0,0.0,0.0,4.16,3.92,0.0,0.0,40.4
Li,1.0,1.0,1.259,1.681,5.392,0.622,3.01,2.444,0.98,0.9,3.01,0.98,0.912,0.94,3.02,0.95,1.13
Be,2.0,2.0,1.656,1.278,9.323,-0.519,4.9,3.706,1.57,1.45,4.9,1.57,1.576,1.55,3.4,1.45,3.81
B,3.0,3.0,1.561,1.355,8.298,0.28,4.29,4.969,2.04,1.9,4.29,2.04,2.051,2.02,5.66,1.9,9.04
C,4.0,4.0,1.819,1.163,11.26,1.265,6.27,6.234,2.55,2.37,6.27,2.55,2.544,2.55,8.58,2.55,17.6
N,3.0,3.0,2.068,1.023,14.534,-0.001,7.3,7.496,3.04,2.85,7.3,3.04,3.066,3.12,9.77,2.98,30.5
O,2.0,0.0,2.001,1.058,13.618,1.461,7.54,8.786,3.44,3.32,7.54,3.44,3.61,3.62,12.41,3.45,48.4
F,1.0,0.0,2.263,0.835,17.423,3.4,10.41,10.038,3.98,3.78,10.41,3.98,4.193,4.23,15.6,3.95,72.3
Ne,0.0,0.0,2.518,0.84,21.565,-1.244,0.0,11.3,0.0,0.0,0.0,0.0,4.789,4.89,13.37,0.0,98.0
Na,1.0,1.0,1.842,2.584,5.139,0.549,2.85,2.438,0.93,0.89,2.85,0.93,0.869,0.95,2.64,0.9,1.08
Mg,2.0,2.0,2.248,0.674,7.646,-0.414,3.75,3.611,1.31,1.31,3.75,1.31,1.293,1.32,3.93,1.2,2.35
Al,3.0,3.0,1.989,0.761,5.986,0.435,3.23,4.639,1.61,1.64,3.23,1.61,1.613,1.55,5.89,1.5,4.35
Si,4.0,4.0,2.321,0.652,8.152,1.388,4.77,5.524,1.9,1.98,4.77,1.9,1.916,1.87,6.8,1.8,7.26
P,3.0,3.0,3.412,5.752,10.487,0.746,5.62,6.341,2.19,2.32,5.62,2.19,2.253,2.22,8.33,2.1,11.2
S,2.0,2.0,2.617,5.787,10.36,2.072,6.22,6.838,2.58,2.65,6.22,2.58,2.589,2.49,11.88,2.53,16.4
