Symbol,"DFT
LDA
Etot","DFT
LDA
Ekin","DFT
LDA
Ecoul","DFT
LDA
Eenuc","DFT
LDA
Exc","DFT
LSD
Etot","DFT
LSD
Ekin","DFT
LSD
Ecoul","DFT
LSD
Eenuc","DFT
LSD
Exc","DFT
RLDA
Etot","DFT
RLDA
Ekin","DFT
RLDA
Ecoul","DFT
RLDA
Eenuc","DFT
RLDA
Exc","DFT
ScRLDA
Etot","DFT
ScRLDA
Ekin","DFT
ScRLDA
Ecoul","DFT
ScRLDA
Eenuc","DFT
ScRLDA
Exc"
H,-0.445671,0.425027,0.282827,-0.920999,-0.232525,-0.478671,0.466643,0.298377,-0.965619,-0.278072,-0.445668,0.42502,0.282824,-0.920997,-0.232516,-0.445668,0.42502,0.282824,-0.920996,-0.232515
He,-2.834836,2.767922,1.99612,-6.625564,-0.973314,-2.834836,2.767922,1.99612,-6.625564,-0.973314,-2.834785,2.767773,1.996036,-6.625496,-0.973098,-2.834785,2.767751,1.99603,-6.625471,-0.973096
Li,-7.335195,7.237484,3.990755,-16.911041,-1.652393,-7.343957,7.249892,4.009258,-16.937918,-1.665189,-7.335231,7.237592,3.99073,-16.911917,-1.651635,-7.335231,7.237481,3.990704,-16.911792,-1.651624
Be,-14.447209,14.309424,7.115257,-33.357034,-2.514856,-14.447209,14.309424,7.115257,-33.357034,-2.514856,-14.447997,14.311787,7.115741,-33.362526,-2.512998,-14.447997,14.311376,7.115647,-33.362056,-2.512964
B,-24.344198,24.161047,11.503002,-56.484587,-3.52366,-24.353614,24.172451,11.528234,-56.51674,-3.537559,-24.347331,24.170449,11.50476,-56.502555,-3.519985,-24.347331,24.169382,11.504547,-56.501346,-3.519913
C,-37.425749,37.190391,17.627997,-87.515412,-4.728724,-37.470031,37.242662,17.722784,-87.646436,-4.789041,-37.434171,37.215681,17.632308,-87.559852,-4.722308,-37.43417,37.213317,17.631889,-87.557199,-4.722177
N,-54.025016,53.731727,25.799845,-127.416229,-6.140359,-54.136799,53.861177,26.005085,-127.71784,-6.285222,-54.043484,53.787205,25.808674,-127.509302,-6.13006,-54.043482,53.782518,25.807921,-127.504081,-6.12984
O,-74.473077,74.116881,36.331102,-177.152578,-7.768482,-74.52741,74.178813,36.409873,-177.279326,-7.83677,-74.508653,74.223804,36.3473,-177.326837,-7.75292,-74.508648,74.215239,36.346037,-177.317352,-7.752572
F,-99.099648,98.676131,49.535385,-237.688846,-9.622319,-99.114192,98.6925,49.553571,-237.720045,-9.640218,-99.162239,98.864327,49.562929,-237.989645,-9.599851,-99.162225,98.849634,49.560919,-237.97345,-9.599327
Ne,-128.233481,127.738667,65.726488,-309.988206,-11.71043,-128.233481,127.738667,65.726488,-309.988206,-11.71043,-128.336403,128.048273,65.77074,-310.476301,-11.679115,-128.336369,128.024308,65.767675,-310.449994,-11.678358
Na,-161.44006,160.896571,79.732497,-388.546372,-13.522757,-161.447625,160.907255,79.784904,-388.606022,-13.533763,-161.601691,161.382981,79.804831,-389.308645,-13.480857,-161.601623,161.344619,79.799934,-389.266444,-13.479731
Mg,-199.139406,198.541505,95.67329,-477.899149,-15.455051,-199.139406,198.541505,95.67329,-477.899149,-15.455051,-199.382965,199.274807,95.78447,-479.041925,-15.400316,-199.382839,199.215426,95.777042,-478.976612,-15.398695
Al,-241.315573,240.663489,112.670733,-577.205757,-17.444038,-241.321156,240.670669,112.705697,-577.245289,-17.452233,-241.669323,241.729117,112.827267,-578.851985,-17.373722,-241.669101,241.64091,112.816539,-578.755072,-17.371477
Si,-288.198397,287.48774,131.767814,-687.900675,-19.553276,-288.222945,287.518355,131.881748,-688.036467,-19.586581,-288.696925,288.990326,131.982541,-690.205114,-19.464678,-288.696551,288.863348,131.967556,-690.0658,-19.461655
P,-339.946219,339.173459,153.065007,-810.4001,-21.784585,-340.005794,339.246155,153.286547,-810.676999,-21.861498,-340.631017,341.238665,153.353051,-813.54795,-21.674782,-340.630409,341.06068,153.332668,-813.352953,-21.670803
S,-396.716081,395.878143,176.68795,-945.141155,-24.141019,-396.743948,395.911428,176.770628,-945.250263,-24.175741,-397.636285,398.654968,177.067057,-949.351433,-24.006876,-397.635327,398.411116,177.039936,-949.084638,-24.001741
Cl,-458.664179,457.758293,202.772337,-1092.568993,-26.625816,-458.671463,457.766864,202.790718,-1092.594365,-26.63468,-459.877336,461.421464,203.263193,-1098.098008,-26.463985,-459.87587,461.093903,203.227774,-1097.740075,-26.457471
Ar,-525.946195,524.969812,231.458124,-1253.131982,-29.242149,-525.946195,524.969812,231.458124,-1253.131982,-29.242149,-527.519049,529.722274,232.084684,-1260.276935,-29.049073,-527.516861,529.289796,232.039165,-1259.80489,-29.040931
