Symbol,"Neutron 
Cross 
Section ","Neutron 
Mass 
Absorption","no. of Known 
Isotopes","no. of Stable 
Isotopes","fraction of stable 
isotopes ","fraction abundance of stable 
isotopes ","Abundance in Earth's 
crust","Abundance 
in solar system 
(log)",HHI production,HHI reserve,"cost, 
pure
($/100g)"
H,0.332,0.011,7,2,0.285714286,1.0,0.001429285,0.90985095,0.0,0.0,12.0
He,0.007,1e-05,9,2,0.222222222,1.0,8.16734e-09,0.088702315,0.0,0.0,5.2
Li,71.0,0.0,10,2,0.2,1.0,2.04184e-05,1.8621e-09,2850.0,4180.0,27.0
Be,0.0092,3e-05,12,1,0.083333333,1.0,2.85857e-06,2.38061e-11,8074.0,4000.0,530.0
B,760.0,2.4,14,2,0.142857143,1.0,1.02092e-05,6.91356e-10,2929.0,1980.0,250.0
C,0.0035,1.5e-05,15,2,0.133333333,1.0,0.000204184,0.000329373,500.0,500.0,2.4
N,1.91,0.0048,16,2,0.125,1.0,1.93974e-05,0.000102073,1329.0,500.0,0.4
O,0.00028,1e-06,17,3,0.176470588,1.0,0.470643234,0.000776145,500.0,500.0,0.3
F,0.0096,2e-05,18,1,0.055555556,1.0,0.000597237,2.74912e-08,1500.0,1500.0,190.0
Ne,0.04,0.00059,19,3,0.157894737,1.0,5.10459e-09,0.000112182,0.0,0.0,33.0
Na,0.53,0.0007,20,1,0.05,1.0,2.40937e-10,1.87188e-06,1102.0,500.0,7.0
Mg,0.063,0.0001,22,3,0.136363636,1.0,0.023787391,3.50244e-05,5259.0,500.0,3.7
Al,0.233,0.03,22,1,0.045454545,1.0,0.084021558,2.76869e-06,1569.0,1000.0,1.8
Si,0.166,0.0002,23,3,0.130434783,1.0,0.287898898,3.26111e-05,4708.0,1000.0,5.4
P,0.18,0.0002,23,1,0.043478261,1.0,0.001071964,3.39156e-07,1951.0,5063.0,4.0
S,0.52,0.00055,24,4,0.166666667,1.0,0.000357321,1.67947e-05,737.0,1000.0,24.0
Cl,35.3,0.033,24,2,0.083333333,1.0,0.000148033,1.70882e-07,1500.0,1500.0,0.15
Ar,0.66,0.00059,24,3,0.125,1.0,3.57321e-06,3.29373e-06,0.0,0.0,0.5
K,2.1,0.0018,24,2,0.083333333,0.999883,0.021337188,1.22944e-07,1738.0,7201.0,85.0
Ca,0.43,0.00037,24,5,0.208333333,0.99813,0.0423681,1.99254e-06,3860.0,1500.0,11.0
Sc,27.2,0.025,25,1,0.04,1.0,2.24602e-05,1.1153e-09,5500.0,4500.0,1400.0
Ti,6.1,0.0044,26,5,0.192307692,1.0,0.005768187,7.82667e-08,1119.0,1552.0,6.1
V,5.06,0.0033,26,1,0.038461538,0.9975,0.00012251,9.55507e-09,3266.0,3397.0,220.0
Cr,3.1,0.0021,26,4,0.153846154,1.0,0.000104134,4.4025e-07,3103.0,4053.0,10.0
Mn,13.3,0.0083,26,1,0.038461538,1.0,0.000969872,3.11436e-07,1593.0,1790.0,1.7
Fe,2.56,0.0015,28,4,0.142857143,1.0,0.057477688,2.935e-05,2424.0,1373.0,6.7
Co,37.2,0.021,29,1,0.034482759,1.0,2.5523e-05,7.33751e-08,3052.0,2655.0,21.0
Ni,4.5,0.0026,31,5,0.161290323,1.0,8.57571e-05,1.60773e-06,988.0,1479.0,7.7
Cu,3.78,0.0021,29,2,0.068965517,1.0,6.12551e-05,1.7023e-08,1576.0,1524.0,2.7
