,Unnamed: 0.1,Unnamed: 0,formula_,target_,Ea (eV),space group,ICSD Entry,target,formula_preprocessed,formula,H_ratio,Ag_ratio,Hf_ratio,Co_ratio,Cu_ratio,Te_ratio,Pr_ratio,La_ratio,Nb_ratio,Sn_ratio,Sr_ratio,Se_ratio,Mn_ratio,As_ratio,Cr_ratio,Li_ratio,Br_ratio,N_ratio,I_ratio,Cl_ratio,In_ratio,Nd_ratio,Fe_ratio,S_ratio,Er_ratio,Sm_ratio,Mg_ratio,K_ratio,Ce_ratio,Mo_ratio,O_ratio,Sc_ratio,W_ratio,Al_ratio,Ge_ratio,B_ratio,Bi_ratio,Ru_ratio,Y_ratio,P_ratio,Ga_ratio,Si_ratio,C_ratio,Zn_ratio,Ba_ratio,F_ratio,V_ratio,Ca_ratio,Ta_ratio,Na_ratio,Sb_ratio,Ti_ratio,Cd_ratio,Zr_ratio
2,2,702,Li6.4La3Zr1.4Ta0.3Nb0.3O12,0.000606,0.26,230,,-3.217527376,Li6.4La3Zr1.4Ta0.3Nb0.3O12,Li6.4La3Zr1.4Ta0.3Nb0.3O12,0,0,0,0,0,0,0,0.1282051282051282,0.0128205128205128,0,0,0,0,0,0,0.2735042735042735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128205128205128,0,0,0,0,0.0598290598290598
4,4,701,Li6.4La3Zr1.4Ta0.4Nb0.2O12,0.000455,0.28,230,,-3.341988603,Li6.4La3Zr1.4Ta0.4Nb0.2O12,Li6.4La3Zr1.4Ta0.4Nb0.2O12,0,0,0,0,0,0,0,0.1282051282051282,0.0085470085470085,0,0,0,0,0,0,0.2735042735042735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5128205128205129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017094017094017,0,0,0,0,0.0598290598290598
7,7,692,Li6.8La3Zr1.8Sb0.2O12,5.9e-05,0.39,230,,-4.229147988,Li6.8La3Zr1.8Sb0.2O12,Li6.8La3Zr1.8Sb0.2O12,0,0,0,0,0,0,0,0.1260504201680672,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5042016806722689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084033613445378,0,0,0.0756302521008403
9,9,691,La3Zr2Ga0.5Li5.5O12,0.0001,,230,,-4,La3Zr2Ga0.5Li5.5O12,La3Zr2Ga0.5Li5.5O12,0,0,0,0,0,0,0,0.1304347826086956,0,0,0,0,0,0,0,0.2391304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5217391304347826,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0.0869565217391304
11,11,675,Li5.5La3Ta1.75Sm0.25O12,5.17e-06,,230,259166,-5.286509457,Li5.5La3Ta1.75Sm0.25O12,Li5.5La3Ta1.75Sm0.25O12,0,0,0,0,0,0,0,0.1333333333333333,0,0,0,0,0,0,0,0.2444444444444444,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0.5333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777777777777777,0,0,0,0,0
12,12,664,Li6SrLa2Ta2O12,7e-06,0.5,230,,-5.15490196,Li6SrLa2Ta2O12,Li6SrLa2Ta2O12,0,0,0,0,0,0,0,0.0869565217391304,0,0,0.0434782608695652,0,0,0,0,0.2608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869565217391304,0,0,0,0,0
16,16,656,Li5.4La3Nb1.8Y0.2O12,6.74e-05,,230,237144,-4.171340103,Li5.4La3Nb1.8Y0.2O12,Li5.4La3Nb1.8Y0.2O12,0,0,0,0,0,0,0,0.1339285714285714,0.0803571428571428,0,0,0,0,0,0,0.2410714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5357142857142857,0,0,0,0,0,0,0,0.0089285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,666,Li6BaLa2Ta2O12,4e-05,0.4,230,237201,-4.397940009,Li6BaLa2Ta2O12,Li6BaLa2Ta2O12,0,0,0,0,0,0,0,0.0869565217391304,0,0,0,0,0,0,0,0.2608695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0.0869565217391304,0,0,0,0,0
24,24,598,Li7La3Zr2O12,0.00012,,230,,-3.920818754,Li7La3Zr2O12,Li7La3Zr2O12,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.2916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333
24,24,612,Li6.8La3Zr1.8Ta0.2O12,0.00078,,230,,-3.107905397,Li6.8La3Zr1.8Ta0.2O12,Li6.8La3Zr1.8Ta0.2O12,0,0,0,0,0,0,0,0.1260504201680672,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5042016806722689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084033613445378,0,0,0,0,0.0756302521008403
